Variable,Description,Wave,Educational Dimension,Missing %,Leakage,Relationship with Target,Final Decision,Justification
S2STESTS,How much do you agree or disagree with the following statements about [science course title/science]? [You [are/were] confident that you [can/could] do an excellent job on tests in this course. /You are confident that you can do an excellent job on science tests.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,S2 - First follow-up student survey item (2012),Academic performance,15.63,Low,Weak (Cramer's V=0.076),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.076) (supporting evidence only, not decisive)"
S2SSKILLS,How much do you agree or disagree with the following statements about [science course title/science]? [You [are/were] certain that you [can/could] master the skills [being taught/that were taught] in this course./You are certain that you can master science skills.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,S2 - First follow-up student survey item (2012),Academic performance,15.53,Low,Weak (Cramer's V=0.080),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.080) (supporting evidence only, not decisive)"
S2SWASTE,How much do you agree or disagree with the following statements about [science course title/science]? [You [think/thought] this class [is/was] a waste of your time. /You think science classes are a waste of your time.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,S2 - First follow-up student survey item (2012),Academic performance,15.37,Low,Weak (Cramer's V=0.096),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.096) (supporting evidence only, not decisive)"
S2STEXTBOOK,How much do you agree or disagree with the following statements about [science course title/science]? [You [are/were] certain that you [can/could] understand the most difficult material presented in the textbook used in this course./ You are certain that you can understand the most difficult material presented in science textbooks.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,S2 - First follow-up student survey item (2012),Academic performance,15.36,Low,Weak (Cramer's V=0.072),Include,"Statistical association with target: Weak (Cramer's V=0.072) (supporting evidence only, not decisive)"
S2SENJOYING,How much do you agree or disagree with the following statements about [science course title/science]? [You [are enjoying/enjoyed] this class very much./You enjoy science classes very much.] 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree,S2 - First follow-up student survey item (2012),Academic performance,15.09,Low,Weak (Cramer's V=0.080),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.080) (supporting evidence only, not decisive)"
S2SGETBY,How often [do/did] you do these things in [science course title]? You [do/did] as little work as possible; you just [want/wanted] to get by. 1=Never 2=Less than half of the time 3=Half of the time 4=More than half of the time 5=Always,S2 - First follow-up student survey item (2012),Academic performance,34.02,Low,Weak (Cramer's V=0.067),Include,"Statistical association with target: Weak (Cramer's V=0.067) (supporting evidence only, not decisive)"
S2SSTOPTRYING,"How often [do/did] you do these things in [science course title]? When an assignment [is/was] very difficult, you [stop/stopped] trying. 1=Never 2=Less than half of the time 3=Half of the time 4=More than half of the time 5=Always",S2 - First follow-up student survey item (2012),Academic performance,33.86,Low,Weak (Cramer's V=0.062),Include,"Statistical association with target: Weak (Cramer's V=0.062) (supporting evidence only, not decisive)"
S2SONTIME,How often [do/did] you do these things in [science course title]? You [turn/turned] in your assignments and projects on time. 1=Never 2=Less than half of the time 3=Half of the time 4=More than half of the time 5=Always,S2 - First follow-up student survey item (2012),Academic performance,33.97,Low,Weak (Cramer's V=0.068),Include,"Statistical association with target: Weak (Cramer's V=0.068) (supporting evidence only, not decisive)"
P1LEARN,"Compared with other 9th graders, would you say [your 9th-grader] experiences a lot, a little, or no difficulty in the following areas? Learning, understanding, or paying attention A lot of difficulty A little difficulty No difficulty",P1 - Base year parent survey (2009),Academic performance,33.91,Low,Weak (Cramer's V=0.086),Include,"Statistical association with target: Weak (Cramer's V=0.086) (supporting evidence only, not decisive)"
S2STCHGIVEUP,"How much do you agree or disagree with the following statements about your teacher for [science course title]? Remember, none of your teachers or your principal will see any of the answers you provide. Your teacher... [doesn't/didn't] let people give up when the work [gets/got] hard. 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree",S2 - First follow-up student survey item (2012),Academic performance,33.83,Low,Weak (Cramer's V=0.059),Include,"Statistical association with target: Weak (Cramer's V=0.059) (supporting evidence only, not decisive)"
S2STCHTHINK,"How much do you agree or disagree with the following statements about your teacher for [science course title]? Remember, none of your teachers or your principal will see any of the answers you provide. Your teacher... [wants/wanted] students to think, not just memorize things. 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree",S2 - First follow-up student survey item (2012),Academic performance,33.76,Low,Weak (Cramer's V=0.065),Include,"Statistical association with target: Weak (Cramer's V=0.065) (supporting evidence only, not decisive)"
S2STCHEASY,"How much do you agree or disagree with the following statements about your teacher for [science course title]? Remember, none of your teachers or your principal will see any of the answers you provide. Your teacher... [makes/made] science easy to understand. 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree",S2 - First follow-up student survey item (2012),Academic performance,33.76,Low,Weak (Cramer's V=0.065),Include,"Statistical association with target: Weak (Cramer's V=0.065) (supporting evidence only, not decisive)"
S2STCHINTRST,"How much do you agree or disagree with the following statements about your teacher for [science course title]? Remember, none of your teachers or your principal will see any of the answers you provide. Your teacher... [makes/made] science interesting. 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree",S2 - First follow-up student survey item (2012),Academic performance,33.66,Low,Weak (Cramer's V=0.068),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.068) (supporting evidence only, not decisive)"
S2STCHTREAT,"How much do you agree or disagree with the following statements about your teacher for [science course title]? Remember, none of your teachers or your principal will see any of the answers you provide. Your teacher... [treats/treated] some kids better than other kids. 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree",S2 - First follow-up student survey item (2012),Academic performance,33.69,Low,Weak (Cramer's V=0.060),Include,"Statistical association with target: Weak (Cramer's V=0.060) (supporting evidence only, not decisive)"
S2SASSIGNED,Why [are/were] you taking [science course title] ? Would you say you [are/were] taking it because... it was assigned to you? 1=Yes 0=No,S2 - First follow-up student survey item (2012),Academic performance,33.75,Low,Weak (Cramer's V=0.087),Include,"Statistical association with target: Weak (Cramer's V=0.087) (supporting evidence only, not decisive)"
S2SDOWELL,Why [are/were] you taking [science course title] ? Would you say you [are/were] taking it because... you do well in science? 1=Yes 0=No,S2 - First follow-up student survey item (2012),Academic performance,33.73,Low,Weak (Cramer's V=0.123),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.123) (supporting evidence only, not decisive)"
S2FOCUS2013,What is most likely to be your main focus? 1=Continuing your education after high school 2=Working 3=Serving in the military 4=Starting a family or taking care of your children 6=Attending high school or a GED completion course,S2 - First follow-up student survey item (2012),Academic performance,36.86,Low,Weak (Cramer's V=0.087),Include,"Matched >1 dimension keyword set (assigned to Academic performance by priority order) -- verify against Description; Statistical association with target: Weak (Cramer's V=0.087) (supporting evidence only, not decisive)"
